schema_id,table_name,table_name_original,primary_key,column_list,column_list_original,column_datatypes,foreign_keys
WorldSoccerDataBase,betfront,betfront,NO_PRIMARY_KEY,"['year', 'date time', 'country', 'competion', 'match', 'home opening', 'draw opening', 'away opening', 'home closing', 'draw closing', 'away closing']","['YEAR', 'DATETIME', 'COUNTRY', 'COMPETION', 'MATCH', 'HOME_OPENING', 'DRAW_OPENING', 'AWAY_OPENING', 'HOME_CLOSING', 'DRAW_CLOSING', 'AWAY_CLOSING']","['number', 'time', 'text', 'text', 'text', 'number', 'number', 'number', 'number', 'number', 'number']",[]
WorldSoccerDataBase,football data,football_data,NO_PRIMARY_KEY,"['season', 'date time', 'division', 'country', 'league', 'referee', 'home team', 'away team', 'full time home team goals', 'full time away team goals', 'full time results', 'half time home team goals', 'half time away team goals', 'half time results', 'pinnacle home win odds', 'pinnacle draw odds', 'pinnacle away win odds', 'bet365 home win odds', 'bet365 draw odds', 'bet365 away win odds', 'ladbrokes home win odds', 'ladbrokes draw odds', 'ladbrokes away win odds', 'bet&win home win odds', 'bet&win draw odds', 'bet&win away win odds']","['Season', 'Datetime', 'Div', 'Country', 'League', 'Referee', 'HomeTeam', 'AwayTeam', 'FTHG', 'FTAG', 'FTR', 'HTHG', 'HTAG', 'HTR', 'PSH', 'PSD', 'PSA', 'B365H', 'B365D', 'B365A', 'LBH', 'LBD', 'LBA', 'BWH', 'BWD', 'BWA']","['text', 'time', 'text', 'text', 'text', 'text', 'text', 'text', 'number', 'number', 'text', 'number', 'number', 'text', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number', 'number']",[]
Pesticide,sampledata15,sampledata15,sample pk,"['sample pk', 'state code', 'year', 'month', 'day', 'site code', 'commodity code', 'source id', 'variety', 'origin code', 'country code', 'distribution type code', 'commodity type code', 'claim code', 'quantity', 'grow state', 'pack state', 'distribution state']","['sample_pk', 'state', 'year', 'month', 'day', 'site', 'commod', 'source_id', 'variety', 'origin', 'country', 'disttype', 'commtype', 'claim', 'quantity', 'growst', 'packst', 'distst']","['number', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'number', 'text', 'text', 'text']","[['sampledata15', 'sample pk', 'resultsdata15', 'sample pk']]"
Pesticide,resultsdata15,resultsdata15,sample pk,"['sample pk', 'commodity code', 'commodity type', 'lab code', 'pest code', 'test class code', 'concentration', 'limit of detection', 'concentration unit code', 'confirmation method code', 'confirmation method code 2', 'annotate code', 'quantitate code', 'mean code', 'extract', 'determine code']","['sample_pk', 'commod', 'commtype', 'lab', 'pestcode', 'testclass', 'concen', 'lod', 'conunit', 'confmethod', 'confmethod2', 'annotate', 'quantitate', 'mean', 'extract', 'determin']","['number', 'text', 'text', 'text', 'text', 'text', 'number', 'number', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text']","[['sampledata15', 'sample pk', 'resultsdata15', 'sample pk']]"
USWildFires,fires,Fires,NO_PRIMARY_KEY,"['fire year', 'discovery date', 'discovery day', 'discovery time', 'statistical cause code', 'statistical cause description', 'contained date', 'contained day', 'contained time', 'fire size', 'fire size class', 'latitude', 'longitude', 'owner code', 'owner description', 'state code', 'county code', 'fips code', 'fips name']","['FIRE_YEAR', 'DISCOVERY_DATE', 'DISCOVERY_DOY', 'DISCOVERY_TIME', 'STAT_CAUSE_CODE', 'STAT_CAUSE_DESCR', 'CONT_DATE', 'CONT_DOY', 'CONT_TIME', 'FIRE_SIZE', 'FIRE_SIZE_CLASS', 'LATITUDE', 'LONGITUDE', 'OWNER_CODE', 'OWNER_DESCR', 'STATE', 'COUNTY', 'FIPS_CODE', 'FIPS_NAME']","['number', 'number', 'number', 'text', 'number', 'text', 'text', 'text', 'text', 'number', 'text', 'number', 'number', 'number', 'text', 'text', 'text', 'text', 'text']",[]
GeoNuclearData,nuclear power plants,nuclear_power_plants,NO_PRIMARY_KEY,"['id', 'name', 'latitude', 'longitude', 'country', 'status', 'reactor type', 'reactor model', 'construction start at', 'operational from', 'operational to', 'capacity', 'last updated at', 'source']","['Id', 'Name', 'Latitude', 'Longitude', 'Country', 'Status', 'ReactorType', 'ReactorModel', 'ConstructionStartAt', 'OperationalFrom', 'OperationalTo', 'Capacity', 'LastUpdatedAt', 'Source']","['text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text']",[]
WhatCDHipHop,torrents,torrents,id,"['group name', 'total snatched', 'artist', 'group year', 'release type', 'group id', 'id']","['groupName', 'totalSnatched', 'artist', 'groupYear', 'releaseType', 'groupId', 'id']","['text', 'number', 'text', 'number', 'text', 'number', 'number']","[['torrents', 'id', 'tags', 'id']]"
WhatCDHipHop,tags,tags,id,"['index', 'id', 'tag']","['index', 'id', 'tag']","['number', 'number', 'text']","[['torrents', 'id', 'tags', 'id']]"
TheHistoryofBaseball,hall of fame,hall_of_fame,player id,"['player id', 'year id', 'voted by', 'ballots', 'needed', 'votes', 'inducted', 'category', 'needed note']","['player_id', 'yearid', 'votedby', 'ballots', 'needed', 'votes', 'inducted', 'category', 'needed_note']","['text', 'number', 'text', 'text', 'text', 'text', 'text', 'text', 'text']","[['player award', 'player id', 'hall of fame', 'player id'], ['player award vote', 'player id', 'hall of fame', 'player id'], ['salary', 'player id', 'hall of fame', 'player id'], ['player', 'player id', 'hall of fame', 'player id']]"
TheHistoryofBaseball,player award,player_award,player id,"['player id', 'award id', 'year', 'league id', 'tie', 'notes']","['player_id', 'award_id', 'year', 'league_id', 'tie', 'notes']","['text', 'text', 'number', 'text', 'text', 'text']","[['player award', 'player id', 'hall of fame', 'player id'], ['player award vote', 'player id', 'hall of fame', 'player id'], ['salary', 'player id', 'hall of fame', 'player id'], ['player', 'player id', 'hall of fame', 'player id']]"
TheHistoryofBaseball,player award vote,player_award_vote,player id,"['award id', 'year', 'league id', 'player id', 'points won', 'points max', 'votes first']","['award_id', 'year', 'league_id', 'player_id', 'points_won', 'points_max', 'votes_first']","['text', 'number', 'text', 'text', 'number', 'number', 'text']","[['player award', 'player id', 'hall of fame', 'player id'], ['player award vote', 'player id', 'hall of fame', 'player id'], ['salary', 'player id', 'hall of fame', 'player id'], ['player', 'player id', 'hall of fame', 'player id']]"
TheHistoryofBaseball,salary,salary,player id,"['year', 'team id', 'league id', 'player id', 'salary']","['year', 'team_id', 'league_id', 'player_id', 'salary']","['number', 'text', 'text', 'text', 'number']","[['player award', 'player id', 'hall of fame', 'player id'], ['player award vote', 'player id', 'hall of fame', 'player id'], ['salary', 'player id', 'hall of fame', 'player id'], ['player', 'player id', 'hall of fame', 'player id']]"
TheHistoryofBaseball,player,player,player id,"['player id', 'birth year', 'birth month', 'birth day', 'birth country', 'birth state', 'birth city', 'death year', 'death month', 'death day', 'death country', 'death state', 'death city', 'name first', 'name last', 'name given', 'weight']","['player_id', 'birth_year', 'birth_month', 'birth_day', 'birth_country', 'birth_state', 'birth_city', 'death_year', 'death_month', 'death_day', 'death_country', 'death_state', 'death_city', 'name_first', 'name_last', 'name_given', 'weight']","['text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text']","[['player award', 'player id', 'hall of fame', 'player id'], ['player award vote', 'player id', 'hall of fame', 'player id'], ['salary', 'player id', 'hall of fame', 'player id'], ['player', 'player id', 'hall of fame', 'player id']]"
StudentMathScore,finrev fed 17,FINREV_FED_17,NO_PRIMARY_KEY,"['state code', 'id census', 'school district', 'nces id', 'year data', 'total federal revenue', 'child 14', 'child 25']","['state_code', 'idcensus', 'school_district', 'nces_id', 'yr_data', 't_fed_rev', 'c14', 'c25']","['number', 'number', 'text', 'text', 'number', 'number', 'number', 'number']",[]
StudentMathScore,ndecoreexcel math grade8,NDECoreExcel_Math_Grade8,NO_PRIMARY_KEY,"['year', 'state', 'all students', 'average scale score']","['year', 'state', 'all_students', 'average_scale_score']","['number', 'text', 'text', 'number']",[]
StudentMathScore,finrev fed key 17,FINREV_FED_KEY_17,NO_PRIMARY_KEY,"['state code', 'state', 'number of records']","['State_Code', 'State', '#_Records']","['number', 'text', 'text']",[]
GreaterManchesterCrime,greater manchester crime,GreaterManchesterCrime,crime id,"['crime id', 'crime time stamp', 'location', 'lsoa', 'type', 'outcome']","['CrimeID', 'CrimeTS', 'Location', 'LSOA', 'Type', 'Outcome']","['text', 'time', 'text', 'text', 'text', 'text']",[]
